,year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
824,2017,6,7,12.0,-17.7,153.4,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,180.0,4,5.7,,97,3,0,1017.5,0,0.1,0.0,24.0,0,21.5,,20.4,3.0,29.0,5,4.0,3,,6,4,4,,2,1.0,14,2,0.5,,373,73,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NMAYZG,3,0,1,0,1,2017-06-07 12:00:00+00:00
825,2017,3,19,18.0,27.7,126.9,1,4,0.0,0,1.0,3.0,,1,9VPY5,,0,180.0,4,3.6,,97,2,2,1017.9,7,1.0,0.0,21.5,0,20.0,,19.3,1.0,26.0,7,6.0,7,,2,7,8,,1,1.0,18,1,1.0,,226,76,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NC4301,3,0,1,0,1,2017-03-19 18:00:00+00:00
826,2017,7,8,12.0,8.1,120.1,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,320.0,4,3.6,,97,2,2,1013.1,3,1.6,0.0,29.0,0,27.0,,26.3,3.0,32.0,6,5.0,7,,3,7,8,,2,1.0,32,2,0.5,,298,80,992,114,5,1,2.0,,,,,,,1,311111,11111111111111,,,,NQBUV7,3,0,1,0,1,2017-07-08 12:00:00+00:00
827,2017,5,23,6.0,-16.8,154.3,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,160.0,4,11.3,,97,3,0,1012.2,8,0.5,0.0,27.7,0,26.9,,26.6,3.0,30.0,6,5.0,2,,2,4,5,,2,2.5,16,2,2.0,,373,64,992,114,5,1,2.0,,,,,,,2,311111,11111111111111,,,,NKC154,3,0,1,0,1,2017-05-23 06:00:00+00:00
828,2017,6,27,12.0,33.3,136.8,1,4,0.0,0,5.0,3.0,,1,9VPY5,,0,200.0,4,5.1,,97,51,2,1014.3,0,0.1,0.0,23.5,0,21.0,,19.9,3.0,25.0,8,7.0,7,,2,7,3,,2,1.0,20,1,0.5,,191,36,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NOWJT4,3,0,1,0,1,2017-06-27 12:00:00+00:00
829,2017,2,2,12.0,-8.7,151.2,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,190.0,4,7.2,,97,2,1,1010.6,8,2.3,0.0,29.5,0,29.0,,28.9,1.0,32.0,6,5.0,9,,6,7,8,,1,1.5,19,1,1.5,,337,81,992,114,5,1,2.0,,,,,,,1,311113,11111111111111,,,,N6F53J,3,0,1,0,1,2017-02-02 12:00:00+00:00
830,2017,8,4,12.0,-29.0,153.8,1,4,0.0,0,5.0,1.0,,1,9VPY5,,0,320.0,4,10.3,,97,2,1,1018.1,1,1.7,0.0,17.5,0,17.0,,16.7,3.0,25.0,5,4.0,2,,2,4,8,,2,1.5,23,2,1.0,,409,93,992,114,5,1,2.0,,,,,,,1,311113,11111111111111,,,,NTRZGK,3,0,1,0,1,2017-08-04 12:00:00+00:00
831,2017,8,12,11.0,-42.8,-178.5,1,4,0.0,0,3.0,2.0,,1,A3CW4,,0,230.0,3,7.7,,98,1,0,1002.7,4,0.0,0.0,13.0,0,12.0,,11.1,0.0,13.0,0,0.0,0,,9,0,0,,2,0.5,23,2,0.5,,484,28,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NURH32,3,0,1,0,1,2017-08-12 11:00:00+00:00
832,2017,6,3,0.0,3.6,-30.0,1,4,0.0,0,8.0,4.0,,1,A8BL4,,0,90.0,3,5.7,,97,1,1,1016.9,0,0.0,0.0,25.8,0,25.0,,24.7,3.0,30.0,6,5.0,6,,3,6,4,,3,0.5,27,3,0.5,,318,30,992,114,5,1,2.0,,,,,,,1,311111,11111111111111,,,,NLPTVW,3,0,1,0,1,2017-06-03 00:00:00+00:00
833,2017,4,4,6.0,-10.1,71.8,1,4,0.0,0,1.0,2.0,,1,A8BX6,,0,130.0,0,7.0,,98,3,1,1014.0,3,1.0,0.0,29.0,0,28.5,,28.3,3.0,29.0,3,3.0,7,,3,6,A,,3,1.0,9,2,1.5,,365,1,992,114,5,1,2.0,,,,,,,2,111113,11111111111111,,,,NE27AF,3,0,1,0,1,2017-04-04 06:00:00+00:00
834,2017,3,3,18.0,-19.5,51.4,1,4,0.0,0,7.0,2.0,,1,A8BX6,,0,160.0,3,5.7,,98,1,0,1011.0,3,0.3,0.0,29.0,0,28.0,,27.6,3.0,31.0,0,0.0,0,,9,0,0,,1,0.5,16,1,0.5,,363,91,992,114,5,1,2.0,,,,,,,1,511111,11111111111111,,,,NA3N7F,3,0,1,0,1,2017-03-03 18:00:00+00:00
835,2017,8,19,18.0,-26.0,-47.8,1,4,0.0,0,1.0,4.0,,1,A8CG6,,0,10.0,3,11.8,,98,3,2,1010.0,6,1.0,0.0,21.0,0,19.0,,18.0,3.0,20.0,6,5.0,7,,3,A,8,,4,1.0,11,6,0.5,,425,67,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NVP11B,3,0,1,0,1,2017-08-19 18:00:00+00:00
836,2017,3,15,18.0,40.0,-27.1,1,4,,0,6.0,3.0,,1,A8DG9,,0,20.0,4,10.3,,98,1,1,1030.1,6,0.4,,13.0,0,10.6,,8.6,3.0,16.2,6,5.0,4,,5,6,8,,5,2.0,31,12,3.5,,175,7,792,103,5,0,,,,,,,,2,111111,11111111111111,,,,NBLV19,3,0,1,0,1,2017-03-15 18:00:00+00:00
837,2017,3,13,6.0,46.1,-10.5,1,4,0.0,0,5.0,3.0,,1,A8DG9,,0,40.0,4,5.7,,96,58,6,1033.2,1,1.1,0.0,11.8,0,11.6,,11.5,3.0,12.6,8,7.0,7,,2,7,A,,4,1.0,30,12,4.0,,176,60,992,114,5,1,2.0,,,,,,,1,111113,11111111111111,,,,NBASRO,3,0,1,0,1,2017-03-13 06:00:00+00:00
